,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
0,fortuna,2517679,38.18,55.4,0,75,6.93
1,punta arenas,3874787,-53.16,55.4,75,86,14.99
2,saint-philippe,6138908,45.36,21.2,20,62,5.82
3,la rioja,3848950,-29.41,78.25,0,56,3.4
4,bluff,2175403,-23.58,85.05,0,40,6.8
5,busselton,2075265,-33.64,61.29,0,100,19.73
6,honiara,2108502,-9.43,78.66,88,89,10.04
7,vaini,1273574,15.34,54.72,0,85,1.1
8,puerto ayora,3652764,-0.74,84.2,40,70,8.05
9,hobart,2163355,-42.88,66.2,40,63,10.29
10,esperance,3573739,10.24,80.6,20,78,9.17
11,barrow,3833859,-38.31,81.85,0,35,10.78
12,castro,3896218,-42.48,64.12,0,81,1.61
13,butaritari,2110227,3.07,85.32,8,97,13.06
14,san javier,2511366,37.81,55.4,0,82,13.87
15,alta floresta,6316343,-9.87,77.17,32,88,1.99
16,yumen,1528998,40.29,0.18,44,63,3.06
17,hermanus,3366880,-34.42,53.91,0,100,3.22
18,carnarvon,1014034,-30.97,66.55,0,56,11.56
19,liwale,155921,-9.8,74.43,0,75,5.12
20,yellowknife,6185377,62.45,-11.21,75,69,9.17
21,mawlamyine,1308465,16.49,72.27,8,94,3.85
22,saskylakh,2017155,71.97,-1.45,68,68,10.16
23,qaanaaq,3831208,77.48,-17.2,0,98,8.59
24,dongsheng,1788268,29.72,33.66,92,84,10.04
25,bredasdorp,1015776,-34.53,62.6,8,88,3.36
26,cape town,3369157,-33.93,66.2,0,88,16.11
27,ushuaia,3833367,-54.81,50.0,40,53,19.46
28,mokolo,2226275,10.74,55.17,0,44,4.07
29,bourg-en-bresse,3031009,46.21,50.0,0,82,2.24
30,smithers,6149996,54.78,17.6,90,52,3.36
31,mount gambier,2156643,-37.83,64.4,40,88,2.24
32,pevek,2122090,69.7,-5.72,80,97,4.85
33,norman wells,6089245,65.28,-2.21,5,64,8.05
34,kapaa,5848280,22.08,78.8,75,57,18.34
35,mayumba,2399001,-3.44,77.67,20,100,4.63
36,maniitsoq,3421982,65.42,7.11,56,85,7.36
37,egvekinot,4031742,66.32,25.74,68,90,10.11
38,salina cruz,3520064,16.18,79.83,8,71,9.04
39,tuktoyaktuk,6170031,69.44,-11.21,20,76,21.92
40,navahrudak,624785,53.59,33.3,0,88,15.19
41,pundaguitan,1698289,6.37,78.43,48,100,8.25
42,bulawayo,894701,-20.16,62.01,8,98,2.89
43,khatanga,2022572,71.98,-5.5,44,69,10.83
44,bambous virieux,1106677,-20.34,80.6,75,78,8.05
45,hilo,5855927,19.71,77.0,90,57,9.17
46,chuy,3443061,-33.69,71.91,68,85,9.89
47,nangomba,877597,-10.9,75.55,0,86,7.87
48,lakhipur,1265239,26.03,56.38,92,92,3.29
49,santiago del estero,3835869,-27.8,74.83,0,67,6.02
50,kahului,5847411,20.89,78.8,40,65,11.41
51,albany,5106834,42.65,28.4,40,58,10.29
52,hermiston,5731070,45.84,35.6,90,99,2.84
53,inirida,3671450,3.87,78.39,64,88,1.99
54,okhotsk,2122605,59.36,-15.13,12,100,6.87
55,sao filipe,3374210,14.9,69.97,88,100,20.18
56,huarmey,3939168,-10.07,75.51,8,69,4.23
57,faanui,4034551,-16.48,84.28,92,98,22.75
58,rikitea,4030556,-23.12,71.73,92,100,11.27
59,santo antonio do ica,3662395,-3.1,80.28,12,90,2.51
60,ostersund,2685750,63.18,30.2,12,74,18.34
61,riachao das neves,3451478,-11.75,73.35,12,92,3.4
62,lahat,1638775,-3.78,74.16,76,94,3.06
63,lavumisa,935051,-27.31,69.12,92,93,10.67
64,longview,4707814,32.5,46.4,90,87,3.36
65,jamestown,2069194,-33.21,78.25,0,53,4.41
66,staryy nadym,1490918,65.61,-6.49,48,73,8.88
67,fairbanks,5861897,64.84,5.0,90,77,3.11
68,marawi,1701054,8.0,71.19,20,91,2.84
69,lorengau,2092164,-2.02,81.4,44,100,12.35
70,hamilton,5969785,43.26,26.6,75,62,10.29
71,cabo san lucas,3985710,22.89,82.4,5,64,10.29
72,beyneu,610298,45.32,21.24,76,92,5.86
73,mar del plata,3863379,-46.43,85.14,0,22,19.22
74,rawson,3839307,-43.3,88.56,0,23,5.57
75,pangnirtung,6096551,66.15,-20.26,20,58,3.11
76,vardo,4372777,39.62,39.2,1,43,5.91
77,ambunti,2100933,-4.22,80.28,32,90,2.89
78,la plata,3432043,-34.92,77.0,0,53,8.05
79,beringovskiy,2126710,63.05,29.79,20,88,25.26
80,balkhash,1525798,46.84,19.93,68,89,10.27
81,dikson,1507390,73.51,4.45,68,95,24.47
82,ust-shonosha,477958,61.15,29.2,92,95,15.82
83,flin flon,5954718,54.77,-0.41,75,64,5.82
84,kudahuvadhoo,1337607,2.67,84.28,92,97,10.33
85,cherskiy,2126199,68.75,-16.57,76,71,3.74
86,arraial do cabo,3471451,-22.97,73.71,88,100,8.32
87,tiarei,4033356,-17.53,82.4,75,83,20.8
88,mataura,6201424,-46.19,61.92,56,62,12.06
